,1,2,3,4,5,6,7,8,9,10,Condition,age,gender,party_affil,education,party_strength,political_engagement,imc_passed
20,superior,sorrow,plentiful,qualified,laugh,clever,slow,famous,useful,loyal,DEMOCRAT,24.0,Male,Republican,Some college (no degree),4,4,False
21,superior,joy,plentiful,qualified,laugh,clever,rapid,famous,useful,loyal,REPUBLICAN,61.0,Female,Republican,Some high school (no degree),6,3,True
22,superior,joy,plentiful,qualified,laugh,clever,rapid,famous,useful,loyal,REPUBLICAN,47.0,Female,Republican,Bachelor's degree,2,1,True
23,inferior,sorrow,scarce,unqualified,cry,stupid,slow,unknown,useless,disloyal,DEMOCRAT,70.0,Female,Republican,Some college (no degree),7,7,True
24,superior,sorrow,scarce,unqualified,cry,stupid,slow,unknown,useless,loyal,REPUBLICAN,43.0,Female,Democrat,Bachelor's degree,5,5,True
25,superior,joy,scarce,qualified,laugh,clever,slow,famous,useful,loyal,REPUBLICAN,70.0,Female,Democrat,Bachelor's degree,5,4,True
26,inferior,joy,plentiful,qualified,laugh,clever,rapid,unknown,useful,loyal,DEMOCRAT,36.0,Female,Republican,Bachelor's degree,5,5,True
27,inferior,sorrow,scarce,unqualified,cry,stupid,rapid,famous,useless,disloyal,DEMOCRAT,41.0,Male,Democrat,Bachelor's degree,3,4,True
28,superior,joy,scarce,unqualified,laugh,stupid,rapid,famous,useless,loyal,REPUBLICAN,40.0,Female,Democrat,Associate's/professional/vocational degree,4,2,True
29,superior,joy,plentiful,qualified,laugh,clever,rapid,unknown,useful,loyal,REPUBLICAN,32.0,Female,Republican,Master's degree,6,5,True
30,superior,joy,scarce,qualified,laugh,clever,rapid,unknown,useful,disloyal,DEMOCRAT,45.0,Male,Democrat,Bachelor's degree,5,4,True
31,superior,joy,plentiful,qualified,laugh,clever,rapid,famous,useful,loyal,REPUBLICAN,37.0,Female,Republican,High school,5,5,False
32,superior,sorrow,scarce,qualified,cry,clever,rapid,unknown,useful,loyal,DEMOCRAT,60.0,Female,Republican,Bachelor's degree,6,3,True
33,superior,joy,plentiful,unqualified,laugh,stupid,rapid,famous,useless,disloyal,REPUBLICAN,42.0,Female,Democrat,Bachelor's degree,5,4,True
34,superior,joy,scarce,qualified,cry,clever,slow,unknown,useful,loyal,DEMOCRAT,30.0,Female,Democrat,Bachelor's degree,7,3,True
35,superior,joy,plentiful,qualified,laugh,clever,rapid,famous,useful,loyal,DEMOCRAT,60.0,Male,Democrat,Master's degree,5,4,True
