ID,101,102,105,107,110,113,114,116,119,120,128,130,135,139,140,141,143,145,147,149,150,151,154,156,158,159,166,167,170,174,175,181,182,185,186,190,191,194,197,199,Condition,order,atc_passed,ident
53,paycheck,girl,achievements,relationship,songs,friendships,victories,miracles,winners,bonus,homicide,deficiency,killers,funerals,nightmares,rapist,difficulties,crime,failures,deaths,proposals,sites,regions,instruction,particles,predecessor,affiliation,referral,pillars,towns,minute,yard,centimeter,teaspoon,cup,gigabyte,hertz,thousand,big,wide,DEMOCRAT,3,True,DEMOCRAT
54,paychecks,girls,achievements,relationships,songs,friendships,victories,miracles,winners,bonuses,homicides,deficiencies,killers,funeral,nightmares,rapists,difficulties,crimes,failures,deaths,proposals,sites,regions,instructions,particles,predecessors,affiliation,referrals,pillars,towns,minute,mile,kilometer,tablespoon,cup,gigabyte,gigahertz,thousand,big,wide,REPUBLICAN,1,True,REPUBLICAN
55,paycheck,girl,achievement,relationship,song,friendships,victories,miracle,winners,bonuses,homicide,deficiency,killer,funerals,nightmare,rapist,difficulties,crimes,-99,deaths,proposals,sites,region,instructions,particles,predecessor,affiliation,referral,pillars,towns,second,mile,centimeter,tablespoon,liter,gigabyte,gigahertz,hundred,big,narrow,DEMOCRAT,1,True,REPUBLICAN
56,paychecks,girls,achievements,relationships,songs,friendships,victories,miracle,winners,bonus,homicide,deficiency,killer,funeral,nightmare,rapist,difficulties,crime,failure,deaths,proposal,sites,regions,instructions,particles,predecessors,affiliations,referrals,pillars,town,minute,mile,kilometer,-99,liter,-99,-99,thousand,big,wide,DEMOCRAT,1,True,DEMOCRAT
57,paychecks,girl,achievements,relationship,songs,friendship,victory,miracle,winner,bonus,homicide,deficiency,killers,funerals,nightmare,rapist,difficulties,crimes,failure,deaths,proposal,site,region,instruction,particle,predecessor,affiliation,referral,pillar,town,second,mile,centimeter,teaspoon,cup,gigabyte,hertz,hundred,big,narrow,DEMOCRAT,1,True,REPUBLICAN
58,paychecks,girls,achievements,relationships,songs,friendships,victories,miracles,-99,bonuses,homicides,deficiencies,killers,funerals,nightmares,rapists,difficulties,crimes,failures,deaths,proposals,sites,regions,instructions,particles,predecessors,affiliations,referrals,pillars,towns,minute,mile,kilometer,tablespoon,liter,megabyte,hertz,thousand,big,wide,REPUBLICAN,2,True,DEMOCRAT
59,paychecks,girls,achievements,relationships,song,friendships,victories,miracles,winners,bonuses,homicide,deficiency,killer,funeral,nightmare,rapist,difficulty,crime,failure,death,proposals,sites,regions,instructions,particle,predecessors,affiliations,referrals,pillars,towns,second,mile,kilometer,tablespoon,liter,gigabyte,gigahertz,thousand,big,wide,DEMOCRAT,3,True,DEMOCRAT
60,paycheck,girls,achievements,relationship,songs,friendships,victories,miracles,winners,bonus,homicides,deficiencies,killer,funerals,nightmare,rapists,difficulties,crime,failures,death,proposal,sites,regions,instructions,particles,predecessor,affiliations,referrals,pillars,town,second,mile,centimeter,tablespoon,cup,gigabyte,hertz,hundred,small,wide,REPUBLICAN,3,False,REPUBLICAN
61,paycheck,girls,achievement,relationship,song,friendship,victory,miracle,winner,bonus,homicides,deficiencies,killers,funeral,nightmares,rapists,difficulties,crimes,failures,deaths,proposals,site,regions,instruction,particle,predecessor,affiliation,referral,pillars,town,minute,mile,centimeter,teaspoon,cup,megabyte,hertz,hundred,small,narrow,REPUBLICAN,3,True,DEMOCRAT
62,paychecks,girls,achievements,relationships,-99,friendship,victories,miracle,winners,bonuses,homicide,deficiency,killers,funerals,nightmares,rapist,difficulty,crimes,failure,death,proposals,site,region,instructions,particle,predecessors,affiliation,referrals,pillar,towns,minute,yard,centimeter,tablespoon,cup,megabyte,hertz,thousand,big,wide,DEMOCRAT,3,True,DEMOCRAT
63,paychecks,girl,achievement,relationships,songs,friendships,victory,miracles,winner,bonuses,homicide,deficiencies,killer,funerals,nightmares,rapists,difficulties,crimes,failure,death,proposal,site,regions,instructions,particle,predecessor,affiliation,referrals,pillar,town,minute,mile,centimeter,tablespoon,cup,megabyte,hertz,thousand,small,narrow,REPUBLICAN,1,True,DEMOCRAT
64,paycheck,girl,achievement,relationships,songs,friendship,victories,miracle,winner,bonus,homicide,deficiencies,killer,funerals,nightmare,rapist,difficulties,crimes,failure,death,proposals,site,regions,instruction,particles,predecessor,affiliation,referrals,pillars,town,minute,mile,kilometer,tablespoon,liter,gigabyte,gigahertz,thousand,big,wide,DEMOCRAT,2,True,DEMOCRAT
65,paycheck,girls,achievements,relationship,song,friendships,victory,miracles,winners,bonuses,homicides,deficiencies,killers,funerals,nightmare,rapist,difficulties,crime,failures,deaths,proposal,site,region,instructions,particles,predecessor,affiliation,referrals,pillar,towns,minute,mile,centimeter,tablespoon,liter,gigabyte,gigahertz,thousand,small,narrow,REPUBLICAN,3,False,REPUBLICAN
66,paychecks,girls,achievements,relationships,songs,friendships,victories,miracles,winners,bonuses,homicide,deficiencies,killer,funerals,nightmare,rapist,difficulty,crime,failure,deaths,proposals,sites,regions,instructions,particles,predecessor,affiliations,referrals,pillars,towns,minute,mile,centimeter,tablespoon,liter,gigabyte,gigahertz,thousand,small,wide,DEMOCRAT,1,True,DEMOCRAT
