,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,age,gender,party,party_identity,political_engagement,education,voted,political_bubble,atn,pair0,pair1,pair2,pair3,pair4,pair5,pair6,pair7,pair8,pair9,pair10,pair11,pair12,pair13,pair14,pair15,pair16,pair17,pair18,pair19,pair20,pair21,pair22,pair23,pair24,pair25
55,0.0,5.0,2,5,3,2,1,5,2,5,0,0,1.0,2.0,1.0,5,1,5,3,5,0,1,4,0,4.0,0,32,Female,Democrat,2.0,1,2,1.0,35.0,ATTENTION,comprehensive,wealth,workers,contribute,values,assault,acknowledge,fear,answer,profit,potentially,glad,monetary,types,finish,illegal,talked,reforms,mother,duty,barriers,indicated,excessive,discussion,preserve,fundamental
56,3.0,5.0,4,2,4,1,4,4,4,1,2,1,4.0,4.0,2.0,1,2,1,3,4,5,4,5,4,5.0,1,45,Female,Republican,0.0,1,4,1.0,34.0,ATTENTION,complete,prosperity,workers,give,values,assault,recognize,terror,answer,profit,potentially,happy,monetary,types,end,criminal,spoke,reforms,mom,duty,walls,announced,outrageous,discussion,preserve,basic
57,1.0,3.0,3,2,4,1,2,4,3,4,1,3,1.0,4.0,3.0,5,1,1,2,0,3,2,4,2,4.0,4,30,Female,Democrat,3.0,3,2,1.0,40.0,ATTENTION,complete,prosperity,workers,give,principles,assault,recognize,fear,answer,profit,potentially,happy,financial,kinds,end,illegal,spoke,changes,mom,duty,barriers,indicated,excessive,discussion,preserve,fundamental
58,1.0,4.0,0,2,2,2,3,4,3,1,1,4,4.0,1.0,4.0,4,1,2,0,3,3,3,4,2,4.0,0,46,Male,Independent,0.0,1,4,1.0,30.0,ATTENTION,complete,prosperity,employees,give,principles,attack,recognize,terror,respond,gain,possibly,happy,financial,kinds,end,criminal,spoke,changes,mom,responsibility,walls,announced,outrageous,conversation,maintain,basic
60,2.0,5.0,5,0,0,5,2,2,3,5,2,2,5.0,3.0,2.0,5,2,0,0,0,2,2,5,2,3.0,3,44,Female,Democrat,1.0,0,4,1.0,30.0,ATTENTION,comprehensive,prosperity,employees,give,principles,attack,acknowledge,fear,answer,profit,possibly,glad,financial,kinds,finish,illegal,talked,changes,mother,responsibility,barriers,indicated,excessive,conversation,maintain,fundamental
62,3.0,4.0,1,3,4,2,2,3,3,2,1,2,3.0,2.0,3.0,3,2,3,2,2,4,3,1,3,3.0,2,40,Female,Democrat,0.0,0,3,1.0,22.0,ATTENTION,comprehensive,wealth,workers,contribute,principles,attack,acknowledge,fear,answer,gain,possibly,happy,financial,kinds,finish,criminal,spoke,reforms,mother,duty,walls,announced,outrageous,discussion,preserve,basic
64,4.0,3.0,2,1,4,4,2,5,3,4,2,2,4.0,2.0,4.0,4,3,4,1,4,2,4,1,1,1.0,4,35,Female,Republican,0.0,-2,4,1.0,60.0,yes I paid ATTENTION.,comprehensive,prosperity,workers,contribute,values,attack,recognize,terror,respond,profit,potentially,glad,monetary,types,finish,criminal,spoke,reforms,mother,responsibility,barriers,indicated,excessive,conversation,preserve,fundamental
65,4.0,2.0,1,1,4,5,2,2,1,2,4,1,4.0,3.0,4.0,5,3,1,2,4,3,3,3,2,3.0,4,58,Male,Democrat,3.0,3,5,1.0,68.0,ATTENTION,complete,wealth,employees,give,principles,assault,acknowledge,fear,answer,gain,possibly,happy,financial,kinds,end,illegal,talked,changes,mom,duty,walls,announced,outrageous,discussion,maintain,basic
66,4.0,2.0,4,1,4,1,4,1,4,4,3,1,4.0,1.0,2.0,4,2,1,1,3,1,4,1,1,4.0,4,55,Female,Independent,1.0,-2,4,1.0,50.0,ATTENTION,complete,wealth,workers,give,principles,assault,recognize,terror,respond,profit,potentially,happy,financial,kinds,end,illegal,spoke,changes,mother,responsibility,barriers,announced,outrageous,conversation,preserve,fundamental
67,3.0,1.0,2,1,4,3,2,1,3,1,1,2,3.0,1.0,3.0,4,1,3,2,3,1,4,3,4,4.0,1,38,Female,Republican,-2.0,-1,4,0.0,8.0,ATTENTION,complete,wealth,employees,give,values,assault,acknowledge,fear,answer,profit,possibly,happy,monetary,kinds,end,illegal,talked,reforms,mother,responsibility,barriers,indicated,excessive,conversation,preserve,basic
